peakId,B_plate1_run1_10302020,B_plate1_run2_10302020,B_plate1_run3_10302020,B_plate2_run1_10302020,B_plate2_run2_10302020,B_plate2_run3_10302020,B_plate3_run1_10302020,B_plate3_run2_10302020,B_plate3_run3_10302020,L_plate1_run1_10302020,L_plate1_run2_10302020,L_plate1_run3_10302020,L_plate2_run1_10302020,L_plate2_run2_10302020,L_plate2_run3_10302020,L_plate3_run1_10302020,L_plate3_run2_10302020,L_plate3_run3_10302020,M_plate1_run1_10302020,M_plate1_run2_10302020,M_plate1_run3_10302020,M_plate2_run1_10302020,M_plate2_run2_10302020,M_plate2_run3_10302020,M_plate3_run1_10302020,M_plate3_run2_10302020,M_plate3_run3_10302020,P_plate1_run1_10302020,P_plate1_run2_10302020,P_plate1_run3_10302020,P_plate2_run1_10302020,P_plate2_run2_10302020,P_plate2_run3_10302020,P_plate3_run1_10302020,P_plate3_run2_10302020,P_plate3_run3_10302020
7.84,2761304.49875178,3114293.218922,3185922.64697873,2461433.66943972,2840634.53731206,2969496.39411349,2151580.07971632,3066638.70952482,2768489.5498227,2948900.61378724,3286799.89223406,3829251.95085107,2390013.23119858,2867782.43690781,2890128.75247518,2304285.37624114,3400206.66974468,3354790.8047234,2404687.28815603,2865943.4367305,2690745.5130071,1948210.88682979,2435974.49106383,2709381.28153901,1854247.75548227,2574881.08761702,2580466.39065958,3011365.10890782,3169233.9920213,3099344.1296525,2727999.37558867,3199199.73987236,3096565.22487945,2345818.78422696,3097915.3130071,3054599.69534753
8.02,6255652.98857463,7039706.50948912,8488523.73279424,5267015.40527665,7267908.00119141,7895468.91519146,5642577.20187224,8141935.86405649,8307873.50700701,5365002.97356026,7179471.48363111,7150212.01319133,5380402.94756022,7041376.17550336,7705859.49339707,5246419.05982264,8176855.21849643,8185350.37628344,4811259.57001406,6874010.89245375,6698267.5091984,4998078.46455308,7235820.39986528,7608896.16414161,5694964.16022684,7644462.96446783,7924434.30601392,5095835.64408499,6818324.56641125,7780450.58012738,5051427.25181545,7359546.2357445,6285095.08724803,5218382.26587219,7682515.3599005,8165915.8623261
8.06,1519095.16266664,1460675.43095745,1878176.32000001,1166641.46399996,1506808.20821271,1568446.13306379,1283405.9705106,1682203.17333333,1716089.81588646,1324837.43411344,1507764.39524822,1420120.11478007,1270712.99574466,1476580.7410213,1611077.867234,1652445.74184391,2327820.69787228,2295585.17333333,1090524.1245319,1459612.49634745,1259210.10133332,1129756.65427658,1458332.89231908,1492984.85333331,1266532.25333334,1420972.38000002,1497982.10180134,1387249.85046805,1610602.07199994,1779794,1215615.41651066,1685605.73144682,1321827.88062411,1249568.43999999,1694896.83063825,1828258.68131199
8.12,2524689.82374471,2785947.81673767,3200280.64368799,2329375.55567377,3005019.42860996,3239018.84613479,2136170.99733337,2941805.61846818,2905259.59870924,4121940.96608514,5047468.93521275,5014403.35858153,3144765.62280853,4142036.7203122,4308556.97584401,2715474.85600005,3971286.48354613,3983704.58868097,873858.823907803,971720.575333328,939156.969758861,675132.180567376,905460.276829786,949922.149496455,640042.170822697,885732.851368796,916409.397333337,3121761.11851064,3529442.90672345,4207246.13679443,3224028.30341853,4326048.57866681,3873534.09373053,3167248.0373334,4416563.846383,4631150.0613334
8.24,2162434.50270212,2209683.16615604,2876202.51621276,2159261.71987943,2748013.7187234,2898362.84578725,2024431.43168794,2745641.17862412,2571589.76820567,2812256.56843262,3620923.42534759,3651075.11665956,2368323.25012766,3096909.53882982,3039932.86137589,2382775.16138297,3371799.33440425,3259664.79360284,1729163.05529079,2260948.33913475,2210335.33873759,1523684.36503547,2095702.86467376,2150510.82033333,1540396.43995035,2109939.87669504,2119566.83087234,2036787.55813475,2602724.49875177,3029634.8344539,2537925.09258159,3121858.8160284,3169040.87803547,2344199.9780142,3086599.85532624,3007435.71202836
8.42,1915158.32002127,1709664.44070923,2406102.59415602,1689464.03441136,1844327.04293617,2352298.57920571,1668766.1381773,2291169.85958865,2393369.95108513,2685767.59404256,3345155.60556747,3406304.99642552,2260993.64302129,2980692.82567378,3155625.84441141,1952436.5519149,2926558.52313479,2957997.76956028,944308.292368795,1271183.40221986,1256402.61357447,876473.892581562,1247435.09931206,1323071.74988653,904226.885312056,1280727.01796454,1348516.42052483,2449937.6678156,2939165.05849645,3391028.35273757,2542642.997078,2570088.64999289,3017377.49228365,2394143.99804964,3303831.85520568,3481273.10936169
8.49,646039.802687942,586374.781808513,866153.932702125,570483.365503544,573419.002666667,835124.575999995,570369.908751774,808210.320893615,830931.322666665,629184.544,810171.503999995,843994.912000004,586372.199999998,804367.97923404,845748.986666663,588456.0875461,900417.733333328,904469.81432624,486908.986666666,699033.96496454,686095.949702128,481480.354666666,699737.184000001,752514.536624114,496732.181886525,718822.797333333,737685.897531913,556952.032000002,650937.339574466,822103.783716314,602888.863234045,628956.980078013,797204.938666672,590951.485120566,855114.461333327,905209.640156029
8.63,32155555.0076586,33180933.9054471,43103732.1594245,31986547.7475811,33667357.6345667,44128600.0130065,29631111.3807653,36849937.5915681,40443184.9505095,33775606.6670841,43207970.6972474,43773211.2023563,26746613.508219,34578850.3027595,36399176.0370775,24696068.1786673,34836059.3573608,35249599.406327,22384547.6161632,31585306.4782979,30401547.0216036,25678188.9048506,34308294.131652,36256626.6422638,23803829.3898434,32462023.1017033,33017439.9693128,28532003.6754261,33108018.8662051,41397679.3849068,32321297.3264122,34139118.2737723,39886555.4177043,32904063.0338431,44131207.9058853,45743613.6480151
8.7,817519.970368794,749643.690666666,1005287.81219858,739986.197361703,706198.877829788,964714.230382977,734620.912000001,954700.180269502,924952.972709219,791604.463134754,950835.662836879,996147.782432624,719433.025361709,878059.626666666,900857.409510639,745386.756113478,1050569.37931916,1027710.72579433,601321.085070924,785690.877333333,738336.412141844,559602.087092202,741197.156680858,770922.359716311,551382.105524823,759793.29319149,748629.967999999,717336.271957447,785850.028354609,967233.492560284,776411.925333333,748356.650666663,919040.240978723,742272.825815599,1010318.41842553,1031088.07068085
8.74,965453.276347522,854487.229283694,1187090.21974468,833193.249226953,773512.618269503,1093720.31222695,815202.742056735,1085819.33319859,1090078.1259078,939743.509978725,1126192.07553901,1166460.92196454,873265.930113478,1002551.16402838,1125463.49824823,853781.053574469,1286694.02475887,1255943.94304966,764842.8612766,1027911.74049645,961089.12928369,727675.46698582,993743.431773055,1052587.85994327,763420.617361703,1018067.4056454,1036544.1275603,852518.572177308,913754.586659572,1127574.00414894,864809.323085112,824141.016638305,1039766.66984397,820856.179460994,1129361.72034752,1172689.45965959
