peakID,B,L,pValB,pValL,lowerB,lowerL,upperB,upperL,cosineSimilarityOfBestMatch,bestMatch,bestMatchFiehnLib,bestMatchCasNo
44,-0.818395566865967,-0.699841418183517,1.43759371809141e-09,2.24175400462883e-07,-1.08287921080208,-0.964325062119628,-0.553911922929853,-0.435357774247406,0.994546309247384,"[145742] L-proline 2 [10.321]","[145742] L-proline 2 [10.321]",147853
46,-0.21281933074132,-0.334157378320975,0.114738140879669,0.0132901785723928,-0.477302974677434,-0.598641022257086,0.051664313194795,-0.0696737343848644,0.995019483065316,"[750] glycine [10.456]","[750] glycine [10.456]",56406
48,-0.243131528351684,-0.220924956581514,0.0715758557595323,0.101567709257621,-0.507615172287799,-0.485408600517625,0.0213521155844304,0.0435586873545975,0.797224499561333,"[5351896] trans-3-hexenedioic acid [13.08]","[5351896] trans-3-hexenedioic acid [13.08]",4436742
50,-0.111723523031892,-0.0883577672752104,0.407609079277471,0.51251278250592,-0.376207166968007,-0.352841411211321,0.152760120904223,0.176125876660901,0.906758421229763,"[1174] uracil [10.777]","[1174] uracil [10.777]",66228
51,-0.478955924561174,-0.346869934349551,0.0003893421398898,0.0101696661292912,-0.743439568497289,-0.611353578285662,-0.21447228062506,-0.08238629041344,0.881174353055888,"[444972] fumaric acid [10.94]","[444972] fumaric acid [10.94]",17013013
54,0.0482583897310519,-0.102511558236709,0.72055983122651,0.447353903285105,-0.216225254205063,-0.36699520217282,0.312742033667167,0.161972085699402,0.992105209995408,"[5951] L-serine 2 [11.174]","[5951] L-serine 2 [11.174]",56451
55,-0.0118539331867186,0.0867447929020457,0.929982493661984,0.52024034090529,-0.276337577122833,-0.177738851034065,0.252629710749396,0.351228436838157,0.715491544237288,"[385] pimelic acid [14.19]","[385] pimelic acid [14.19]",111160
57,-0.0787078767544475,0.0832320838117455,0.559619912289675,0.537274806432512,-0.343191520690562,-0.181251560124365,0.185775767181667,0.347715727747856,0.826237657729788,"[51] alpha ketoglutaric acid [13.859]","[51] alpha ketoglutaric acid [13.859]",328507
58,-0.00290325359094154,0.116640731463265,0.98283062931919,0.387284848552425,-0.267386897527056,-0.147842912472846,0.261580390345173,0.381124375399376,0.755994026543599,"[65030] Artemisin [21.929]","[65030] Artemisin [21.929]",481050
59,0.051429173128689,-0.13291193355596,0.703044929855019,0.324555083429815,-0.213054470807426,-0.397395577492071,0.315912817064804,0.131571710380151,0.973054712153516,"[6288] L-threonine 2 [11.464]","[6288] L-threonine 2 [11.464]",72195
