peakID,B,L,pValB,pValL,lowerB,lowerL,upperB,upperL
9.4,0.0169730687815987,-0.157324593009428,0.899880578934169,0.243591938276983,-0.247510575876108,-0.421808237667139,0.281456713439305,0.107159051648283
9.46,-0.299927317163767,-0.0332629782696974,0.0262526253237582,0.805248944421522,-0.564410961821474,-0.297746622927409,-0.0354436725060603,0.231220666388014
9.52,-0.172279000609626,-0.0233815262373274,0.201647812243701,0.862404243546831,-0.436762645267332,-0.287865170895039,0.0922046440480811,0.241102118420384
9.54,-0.096862734543162,0.0384261457355123,0.472777761034395,0.775773596408939,-0.361346379200869,-0.226057498922199,0.167620910114545,0.302909790393224
9.57,-0.114319917112409,-0.0612467733335994,0.396799291523225,0.649840757469103,-0.378803561770116,-0.325730417991311,0.150163727545298,0.203236871324112
9.74,-0.818395566864645,-0.699841418183595,1.43759386479803e-09,2.24175417372387e-07,-1.08287921152235,-0.964325062841306,-0.553911922206938,-0.435357773525883
9.88,-0.21281933074,-0.334157378321061,0.114738141871348,0.0132901788236047,-0.477302975397707,-0.598641022978773,0.0516643139177069,-0.0696737336633502
10.1,-0.243131528350315,-0.220924956581554,0.0715758565344945,0.101567710190145,-0.507615173008022,-0.485408601239265,0.0213521163073914,0.043558688076157
10.3,-0.111723523030524,-0.0883577672752502,0.4076090805625,0.512512783656176,-0.37620716768823,-0.352841411932962,0.152760121627183,0.176125877382461
10.34,-0.478955924559813,-0.346869934349599,0.000389342154183276,0.0101696663349379,-0.74343956921752,-0.61135357900731,-0.214472279902106,-0.0823862896918872
10.63,0.0482583897323727,-0.10251155823679,0.720559831949601,0.447353904523979,-0.216225254925334,-0.366995202894502,0.31274203439008,0.161972086420921
10.69,-0.0118539331853348,0.0867447929020189,0.929982493860675,0.520240342043663,-0.276337577843042,-0.177738851755692,0.252629711472372,0.35122843755973
10.83,-0.0787078767530769,0.0832320838117013,0.559619913367722,0.537274807542947,-0.343191521410784,-0.18125156084601,0.18577576790463,0.347715728469413
10.92,-0.00290325358955972,0.116640731463227,0.982830629374197,0.387284849847604,-0.267386898247266,-0.147842913194484,0.261580391068147,0.381124376120939
